"Line"	"Crop"	"PlantingDate"	"Rep"	"VideoDate"	"MeanFreq"	"MedianFreq"	"SdFreq"	"Hz0.5"	"Hz0.7"	"Hz0.9"	"Hz1.1"	"Hz1.3"	"Hz1.5"	"Hz1.7"	"Hz1.9"	"'Hz2.1"	"Hz2.3"	"Hz2.5"	"Hz2.7"	"Hz2.9"	"Hz3.1"	"Hz3.3"	"Hz3.5"	"Hz3.7"	"Hz3.9"	"Hz4.1"	"Hz4.3"	"Hz4.5"	"Position"
"48"	"Celebration"	"6row"	"1"	"A"	"07_12_17"	"1.31657206896552"	"1.1667"	"0.601680827620344"	"0.464448"	"1.753747"	"2.408515"	"1.904876"	"1.027124"	"1.214034"	"0.619824"	"1.81338"	"0.920611"	"0"	"0"	"0.090456"	"0"	"0.085277"	"0.11908"	"0"	"0.12805"	"0"	"0"	"0"	"0"	1
"49"	"Conion"	"2row"	"1"	"A"	"07_12_17"	"1.44913545454545"	"1.2917"	"0.602391544673015"	"0.858901"	"1.563857"	"1.202923"	"2.942307"	"1.075262"	"1.377177"	"2.157539"	"1.30416"	"1.60381"	"0.71689"	"0"	"0.10398"	"0.10984"	"0"	"0"	"0"	"0"	"0"	"0.20619"	"0"	"0"	2
"50"	"Conion"	"2row"	"1"	"B"	"07_12_17"	"1.35513802325581"	"1.2917"	"0.557247503050527"	"1.557735"	"1.544604"	"1.953986"	"1.443133"	"1.057408"	"1.210206"	"1.540993"	"2.093519"	"1.271885"	"0"	"0"	"0.1097"	"0"	"0"	"0"	"0"	"0.093838"	"0"	"0"	"0"	"0"	1
"51"	"GOPHER"	"oat"	"1"	"A"	"07_12_17"	"1.374505"	"1.2917"	"0.368473020036991"	"0.21923"	"2.691421"	"2.641027"	"5.867402"	"3.887372"	"1.55883"	"2.048973"	"2.22363"	"1.195507"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"52"	"GOPHER"	"oat"	"1"	"B"	"07_12_17"	"1.44804666666667"	"1.3333"	"0.592254116729044"	"0.452406"	"1.807984"	"1.719552"	"2.438439"	"2.848002"	"0.906388"	"2.798536"	"0.962837"	"1.80895"	"0.18616"	"0"	"0.13762"	"0"	"0.087912"	"0"	"0"	"0"	"0"	"0.15867"	"0"	"0"	2
"53"	"GOPHER"	"oat"	"1"	"C"	"07_12_17"	"1.2798925"	"1.1667"	"0.499817248596705"	"0.649773"	"2.721517"	"2.777479"	"2.01416"	"0.426467"	"1.761758"	"1.669429"	"1.293494"	"1.602647"	"0"	"0.11281"	"0.085509"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"54"	"IL078721"	"oat"	"1"	"A"	"07_12_17"	"1.40705384615385"	"1.2917"	"0.658358491652131"	"1.177251"	"1.739823"	"1.079647"	"0.941995"	"0.723094"	"0.709651"	"0.284484"	"2.025217"	"1.150056"	"0"	"0.254883"	"0.088791"	"0.305072"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"55"	"IL078721"	"oat"	"1"	"B"	"07_12_17"	"1.71353828125"	"1.4583"	"0.894960893677084"	"0.336006"	"2.71926"	"1.119115"	"0.501539"	"1.187816"	"0.610801"	"0.85949"	"3.468902"	"0.43582"	"0.068675"	"0.263008"	"0"	"0"	"0.089622"	"0"	"0.099292"	"0.092007"	"0.097918"	"0.16216"	"0"	"0.13805"	2
"56"	"IL078721"	"oat"	"1"	"C"	"07_12_17"	"1.6972640625"	"1.6667"	"0.660319535907196"	"0.32279"	"0.941676"	"0.410701"	"0.482664"	"0.710111"	"0.638942"	"2.678528"	"1.982196"	"1.078265"	"0.481015"	"0.075757"	"0.17599"	"0.166615"	"0"	"0"	"0"	"0"	"0.11034"	"0"	"0"	"0"	1
"57"	"Linkert"	"wheat"	"1"	"A"	"07_12_17"	"1.35803953488372"	"1.2083"	"0.659715834083856"	"0.472173"	"2.477442"	"1.242056"	"1.01887"	"0.803527"	"0.943129"	"0.763155"	"1.67284"	"0.431534"	"0"	"0.096001"	"0.093321"	"0"	"0.080675"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
